DAY 1,283214,,,14137
Height (nm),Counts,Width (nm),Adj. Width,Counts
12.175,0,48.7,42.6,0
12.225,0,48.9,42.8,0
12.275,0,49.1,43.0,0
12.325,0,49.3,43.2,0
12.375,0,49.5,43.3,0
12.425,0,49.7,43.5,0
12.475,0,49.9,43.7,0
12.525,0,50.1,43.9,0
12.575,0,50.3,44.0,0
12.625,0,50.5,44.2,0
12.675,0,50.7,44.4,0
12.725,0,50.9,44.6,0
12.775,0,51.1,44.7,0
12.825,0,51.3,44.9,0
12.875,0,51.5,45.1,0
12.925,0,51.7,45.3,0
12.975,0,51.9,45.4,0
13.025,0,52.1,45.6,0
13.075,0,52.3,45.8,0
13.125,0,52.5,46.0,0
13.175,0,52.7,46.1,0
13.225,0,52.9,46.3,0
13.275,0,53.1,46.5,0
13.325,0,53.3,46.7,0
13.375,0,53.5,46.8,0
13.425,0,53.7,47.0,0
13.475,0,53.9,47.2,0
13.525,0,54.1,47.4,0
13.575,0,54.3,47.5,0
13.625,0,54.5,47.7,0
13.675,0,54.7,47.9,0
13.725,0,54.9,48.1,0
13.775,0,55.1,48.2,0
13.825,0,55.3,48.4,0
13.875,0,55.5,48.6,0
13.925,0,55.7,48.8,0
13.975,0,55.9,48.9,0
14.025,0,56.1,49.1,0
14.075,0,56.3,49.3,0
14.125,0,56.5,49.5,0
14.175,0,56.7,49.6,0
14.225,0,56.9,49.8,0
14.275,0,57.1,50.0,0
14.325,0,57.3,50.2,0
14.375,0,57.5,50.3,0
14.425,0,57.7,50.5,0
14.475,0,57.9,50.7,0
14.525,0,58.1,50.9,0
14.575,0,58.3,51.0,0
14.625,0,58.5,51.2,0
14.675,0,58.7,51.4,0
14.725,0,58.9,51.6,0
14.775,0,59.1,51.7,0
14.825,0,59.3,51.9,0
14.875,0,59.5,52.1,0
14.925,0,59.7,52.3,0
14.975,0,59.9,52.4,0
,,60.1,52.6,0
,,60.3,52.8,0
,,60.5,53.0,0
,,60.7,53.1,0
,,60.9,53.3,0
,,61.1,53.5,0
,,61.3,53.7,0
,,61.5,53.8,0
,,61.7,54.0,0
,,61.9,54.2,0
,,62.1,54.4,0
,,62.3,54.5,0
,,62.5,54.7,0
,,62.7,54.9,0
,,62.9,55.1,0
,,63.1,55.2,0
,,63.3,55.4,0
,,63.5,55.6,0
,,63.7,55.8,0
,,63.9,55.9,0
,,64.1,56.1,0
,,64.3,56.3,0
,,64.5,56.5,0
,,64.7,56.6,0
,,64.9,56.8,0
,,65.1,57.0,0
,,65.3,57.2,0
,,65.5,57.3,0
,,65.7,57.5,0
,,65.9,57.7,0
,,66.1,57.9,0
,,66.3,58.0,0
,,66.5,58.2,0
,,66.7,58.4,0
,,66.9,58.6,0
,,67.1,58.7,0
,,67.3,58.9,0
,,67.5,59.1,0
,,67.7,59.3,0
,,67.9,59.4,0
,,68.1,59.6,0
,,68.3,59.8,0
,,68.5,60.0,0
,,68.7,60.1,0
,,68.9,60.3,0
,,69.1,60.5,0
,,69.3,60.7,0
,,69.5,60.8,0
,,69.7,61.0,0
,,69.9,61.2,0
,,70.1,61.4,0
,,70.3,61.5,0
,,70.5,61.7,0
,,70.7,61.9,0
,,70.9,62.1,0
,,71.1,62.2,0
,,71.3,62.4,0
,,71.5,62.6,0
,,71.7,62.8,0
,,71.9,62.9,0
,,72.1,63.1,0
,,72.3,63.3,0
,,72.5,63.5,0
,,72.7,63.6,0
,,72.9,63.8,0
,,73.1,64.0,0
,,73.3,64.2,0
,,73.5,64.3,0
,,73.7,64.5,0
,,73.9,64.7,0
,,74.1,64.9,0
,,74.3,65.0,0
,,74.5,65.2,0
,,74.7,65.4,0
,,74.9,65.6,0
,,75.1,65.7,0
,,75.3,65.9,0
,,75.5,66.1,0
,,75.7,66.3,0
,,75.9,66.4,0
,,76.1,66.6,0
,,76.3,66.8,0
,,76.5,67.0,0
,,76.7,67.1,0
,,76.9,67.3,0
,,77.1,67.5,0
,,77.3,67.7,0
,,77.5,67.8,0
,,77.7,68.0,0
,,77.9,68.2,0
,,78.1,68.4,0
,,78.3,68.5,0
,,78.5,68.7,0
,,78.7,68.9,0
